階層,人数,業種,年,総額
900万円以下,114085,宿泊業，飲食サービス業,2018,13519
"1,000万円以下",36037,宿泊業，飲食サービス業,2018,3783
"1,500万円以下",137861,宿泊業，飲食サービス業,2018,11511
"2,000万円以下",45998,宿泊業，飲食サービス業,2018,2824
"2,500万円以下",17746,宿泊業，飲食サービス業,2018,785
"2,500万円超",39939,宿泊業，飲食サービス業,2018,1102
100万円以下,507943,宿泊業，飲食サービス業,2017,654529
200万円以下,734784,宿泊業，飲食サービス業,2017,531634
300万円以下,919403,宿泊業，飲食サービス業,2017,368816
400万円以下,1091530,宿泊業，飲食サービス業,2017,313205
500万円以下,927133,宿泊業，飲食サービス業,2017,208548
600万円以下,563495,宿泊業，飲食サービス業,2017,102951
700万円以下,274013,宿泊業，飲食サービス業,2017,42627
800万円以下,132001,宿泊業，飲食サービス業,2017,17890
900万円以下,88828,宿泊業，飲食サービス業,2017,10522
"1,000万円以下",92520,宿泊業，飲食サービス業,2017,9703
"1,500万円以下",150876,宿泊業，飲食サービス業,2017,12367
"2,000万円以下",40539,宿泊業，飲食サービス業,2017,2449
"2,500万円以下",16605,宿泊業，飲食サービス業,2017,743
"2,500万円超",74303,宿泊業，飲食サービス業,2017,1391
100万円以下,454665,宿泊業，飲食サービス業,2016,590758
200万円以下,701704,宿泊業，飲食サービス業,2016,502774
300万円以下,837519,宿泊業，飲食サービス業,2016,335154
400万円以下,821597,宿泊業，飲食サービス業,2016,237123
500万円以下,674032,宿泊業，飲食サービス業,2016,151434
600万円以下,425388,宿泊業，飲食サービス業,2016,78049
700万円以下,178184,宿泊業，飲食サービス業,2016,27772
800万円以下,122078,宿泊業，飲食サービス業,2016,16535
900万円以下,85279,宿泊業，飲食サービス業,2016,10085
"1,000万円以下",91199,宿泊業，飲食サービス業,2016,9619
"1,500万円以下",87603,宿泊業，飲食サービス業,2016,7427
"2,000万円以下",40919,宿泊業，飲食サービス業,2016,2354
"2,500万円以下",34094,宿泊業，飲食サービス業,2016,1540
"2,500万円超",30293,宿泊業，飲食サービス業,2016,755
100万円以下,458483,宿泊業，飲食サービス業,2015,589254
200万円以下,752574,宿泊業，飲食サービス業,2015,544789
300万円以下,790301,宿泊業，飲食サービス業,2015,319919
400万円以下,913753,宿泊業，飲食サービス業,2015,262142
500万円以下,712495,宿泊業，飲食サービス業,2015,159463
600万円以下,410748,宿泊業，飲食サービス業,2015,75415
700万円以下,228195,宿泊業，飲食サービス業,2015,35392
800万円以下,130838,宿泊業，飲食サービス業,2015,17593
900万円以下,90899,宿泊業，飲食サービス業,2015,10632
"1,000万円以下",50447,宿泊業，飲食サービス業,2015,5389
"1,500万円以下",122486,宿泊業，飲食サービス業,2015,10227
"2,000万円以下",35600,宿泊業，飲食サービス業,2015,2030
"2,500万円以下",22109,宿泊業，飲食サービス業,2015,973
"2,500万円超",43032,宿泊業，飲食サービス業,2015,948
100万円以下,463398,宿泊業，飲食サービス業,2014,598449
200万円以下,711686,宿泊業，飲食サービス業,2014,511023
300万円以下,848219,宿泊業，飲食サービス業,2014,342857
400万円以下,899863,宿泊業，飲食サービス業,2014,258304
500万円以下,722229,宿泊業，飲食サービス業,2014,161629
600万円以下,452843,宿泊業，飲食サービス業,2014,82685
700万円以下,213858,宿泊業，飲食サービス業,2014,33058
800万円以下,145331,宿泊業，飲食サービス業,2014,19463
900万円以下,52186,宿泊業，飲食サービス業,2014,6145
"1,000万円以下",64426,宿泊業，飲食サービス業,2014,6803
"1,500万円以下",108151,宿泊業，飲食サービス業,2014,9241
"2,000万円以下",62554,宿泊業，飲食サービス業,2014,3442
"2,500万円以下",13420,宿泊業，飲食サービス業,2014,612
"2,500万円超",43967,宿泊業，飲食サービス業,2014,1242
100万円以下,26675,金融業，保険業,2023,31789
200万円以下,128390,金融業，保険業,2023,88896
300万円以下,304310,金融業，保険業,2023,120500
400万円以下,589438,金融業，保険業,2023,167037
500万円以下,940217,金融業，保険業,2023,208434
600万円以下,930791,金融業，保険業,2023,169804
700万円以下,849191,金融業，保険業,2023,130867
800万円以下,690956,金融業，保険業,2023,92704
900万円以下,631486,金融業，保険業,2023,74481
"1,000万円以下",611363,金融業，保険業,2023,64333
